time,amount
6/30/2015,8788.525282
7/1/2015,8338.629387
7/2/2015,8222.817404
7/3/2015,8698.054309
7/4/2015,9107.38494
7/5/2015,8058.527215
7/6/2015,8172.913019
7/7/2015,8571.579673
7/8/2015,8925.186698
7/9/2015,9150.157006
7/10/2015,9599.419485
7/11/2015,9439.628959
7/12/2015,8683.007259
7/13/2015,8457.308354
7/14/2015,8372.586076
7/15/2015,8399.673056
7/16/2015,8561.302448
7/17/2015,9167.986209
7/18/2015,8824.068005
7/19/2015,8253.075694
7/20/2015,8158.448884
7/21/2015,7812.040537
7/22/2015,7318.803952
7/23/2015,7560.075493
7/24/2015,8124.481871
7/25/2015,8179.32369
7/26/2015,7376.952381
7/27/2015,7364.529441
7/28/2015,7383.032599
7/29/2015,7418.797276
7/30/2015,7555.798176
7/31/2015,8512.498052
8/1/2015,8332.573169
8/2/2015,8230.656278
8/3/2015,7596.024644
8/4/2015,7643.055864
8/5/2015,7381.971921
8/6/2015,8195.597335
8/7/2015,8827.490169
8/8/2015,9096.471623
8/9/2015,8599.171733
8/10/2015,8934.234042
8/11/2015,8854.712691
8/12/2015,8830.169061
8/13/2015,8482.657777
8/14/2015,8889.961287
8/15/2015,9318.746182
8/16/2015,8788.943513
8/17/2015,8003.206408
8/18/2015,8394.038559
8/19/2015,8358.060918
8/20/2015,8426.758004
8/21/2015,8943.360198
8/22/2015,8961.213046
8/23/2015,8491.459559
8/24/2015,8514.29855
8/25/2015,8525.535542
8/26/2015,8484.300479
8/27/2015,8507.466209
8/28/2015,9050.09866
8/29/2015,9225.569106
8/30/2015,8963.690782
8/31/2015,9537.438562
9/1/2015,9340.987351
9/2/2015,9865.508152
9/3/2015,9155.198061
9/4/2015,10093.03483
9/5/2015,9918.857553
9/6/2015,9320.682697
9/7/2015,9289.288035
9/8/2015,9296.562454
9/9/2015,9278.157854
9/10/2015,9405.311219
9/11/2015,10135.13366
9/12/2015,10416.32136
9/13/2015,9839.622583
9/14/2015,9748.926203
9/15/2015,9554.495236
9/16/2015,9458.485513
9/17/2015,9264.478184
9/18/2015,9726.584359
9/19/2015,9851.910785
9/20/2015,9488.787937
9/21/2015,9562.182089
9/22/2015,9548.497471
9/23/2015,9597.385226
9/24/2015,9667.563707
9/25/2015,10286.85568
9/26/2015,10397.03169
9/27/2015,9992.660879
9/28/2015,9962.347992
9/29/2015,9869.204141
9/30/2015,9793.293128
10/1/2015,9991.328924
10/2/2015,10839.03375
10/3/2015,11063.25671
10/4/2015,10565.59314
10/5/2015,10378.76526
10/6/2015,10305.30764
10/7/2015,10860.46705
10/8/2015,10875.64243
10/9/2015,11452.13989
10/10/2015,11596.02147
10/11/2015,11230.54482
10/12/2015,11275.16065
10/13/2015,11410.83793
10/14/2015,11298.74937
10/15/2015,11281.49647
10/16/2015,11755.19036
10/17/2015,12030.28847
10/18/2015,11816.72224
10/19/2015,12460.81669
10/20/2015,10519.78842
10/21/2015,10511.25296
10/22/2015,10362.40311
10/23/2015,10699.96712
10/24/2015,10554.5525
10/25/2015,10011.29854
10/26/2015,9991.900405
10/27/2015,9971.328387
10/28/2015,9889.092013
10/29/2015,9806.26453
10/30/2015,10323.93935
10/31/2015,10421.28315
11/1/2015,9992.573692
11/2/2015,9976.974612
11/3/2015,9853.488943
11/4/2015,9759.068227
11/5/2015,9733.600316
11/6/2015,10313.57914
11/7/2015,10429.26828
11/8/2015,9948.567784
11/9/2015,10084.42513
11/10/2015,10354.45853
11/11/2015,10752.66088
11/12/2015,10851.14329
11/13/2015,11103.14992
11/14/2015,10681.8255
11/15/2015,9809.723719
11/16/2015,9520.606689
11/17/2015,9574.491929
11/18/2015,9867.994264
11/19/2015,10462.41252
11/20/2015,11234.66638
11/21/2015,11373.03175
11/22/2015,10710.25909
11/23/2015,10582.65536
